image_num,modified,original
1,-999.0,0.591335
2,-999.0,-999.0
3,-999.0,0.832491
4,-999.0,0.195125
5,-999.0,0.292792
6,-999.0,0.789874
7,-999.0,0.825808
8,-999.0,0.04529
9,-999.0,0.7861090000000001
10,-999.0,-0.0024100000000000002
11,-999.0,-999.0
12,-999.0,0.7615689999999999
13,-999.0,0.533946
14,-999.0,0.870334
15,-999.0,0.8330799999999999
16,-999.0,0.025745999999999998
17,-999.0,0.902536
18,-999.0,-999.0
19,-999.0,0.840158
20,-999.0,0.114374
21,-999.0,0.191692
22,-999.0,0.785299
23,-999.0,0.7329869999999999
24,-999.0,0.007359999999999999
25,-999.0,0.872532
26,-999.0,-999.0
27,-999.0,-999.0
28,-999.0,-999.0
29,-999.0,0.8628030000000001
30,-999.0,-999.0
31,-999.0,0.813887
32,-999.0,-999.0
33,-999.0,0.763154
34,-999.0,0.183526
35,-999.0,0.016728
36,-999.0,0.797488
37,-999.0,0.794467
38,-999.0,0.8290559999999999
39,-999.0,-999.0
40,-999.0,0.7411449999999999
41,-999.0,-999.0
42,-999.0,0.831009
43,-999.0,0.6673560000000001
44,-999.0,0.886808
45,-999.0,0.743051
46,-999.0,-999.0
47,-999.0,-999.0
48,-999.0,-999.0
49,-999.0,0.397367
50,-999.0,0.776776
51,-999.0,-999.0
52,-999.0,-999.0
53,-999.0,-999.0
54,-999.0,0.884382
55,-999.0,-999.0
56,-999.0,0.735626
57,-999.0,-999.0
58,-999.0,0.606955
59,-999.0,-999.0
60,-999.0,0.713195
61,-999.0,-999.0
62,-999.0,-999.0
63,-999.0,0.042631999999999996
64,-999.0,0.054749
65,-999.0,0.799875
66,-999.0,-999.0
67,-999.0,0.25166900000000003
68,-999.0,0.7665029999999999
69,-999.0,-999.0
70,-999.0,0.9077629999999999
71,-999.0,0.8416959999999999
72,-999.0,0.696008
73,-999.0,0.372318
74,-999.0,-999.0
75,-999.0,-999.0
76,-999.0,0.8189
77,-999.0,0.7065100000000001
78,-999.0,-999.0
79,-999.0,0.72117
80,-999.0,0.8487610000000001
81,-999.0,-999.0
82,-999.0,-999.0
83,-999.0,-999.0
84,-999.0,0.026494
85,-999.0,0.879401
86,-999.0,0.874079
87,-999.0,0.776307
88,-999.0,-0.0064
89,-999.0,-999.0
90,-999.0,0.884544
91,-999.0,0.769934
92,-999.0,-999.0
93,-999.0,0.046514
94,-999.0,0.809709
95,-999.0,0.794818
96,-999.0,0.761234
97,-999.0,-999.0
98,-999.0,0.808292
99,-999.0,0.7458020000000001
100,-999.0,0.81705
